,frame,x1,y1,x2,y2,x_center,y_center
0,203,353.2543115234375,364.48185485839844,367.8863134765625,384.20906311035156,360.5703125,374.345458984375
1,204,367.7646875,354.75727600097656,382.396689453125,374.4844842529297,375.0806884765625,364.6208801269531
2,205,383.5433740234375,344.1182989501953,398.1753759765625,363.84550720214844,390.859375,353.9819030761719
3,206,397.6158837890625,332.90653747558594,412.2478857421875,352.63374572753906,404.931884765625,342.7701416015625
4,206,399.967080078125,339.6269354248047,414.59908203125,359.3541436767578,407.2830810546875,349.49053955078125
5,207,409.59095092773435,321.6832403564453,424.2229528808594,341.41044860839844,416.9069519042969,331.5468444824219
6,208,423.0450830078125,313.1316046142578,437.6770849609375,332.85881286621094,430.361083984375,322.9952087402344
7,209,434.28342529296873,304.5241522216797,448.91542724609377,324.2513604736328,441.59942626953125,314.38775634765625
8,210,446.61386962890623,295.18021911621094,461.24587158203127,314.90742736816406,453.92987060546875,305.0438232421875
9,211,457.78418823242185,287.64176696777344,472.4161901855469,307.36897521972656,465.1001892089844,297.50537109375
10,212,468.44602294921873,281.24723571777344,483.07802490234377,300.97444396972656,475.76202392578125,291.11083984375
11,213,478.56223388671873,273.5234197998047,493.19423583984377,293.2506280517578,485.87823486328125,283.38702392578125
12,214,489.73032470703123,267.35441345214844,504.36232666015627,287.08162170410156,497.04632568359375,277.218017578125
13,215,498.28247924804685,262.3511785888672,512.9144812011718,282.0783868408203,505.5984802246094,272.21478271484375
14,216,508.170205078125,255.85593933105469,522.80220703125,275.5831475830078,515.4862060546875,265.71954345703125
15,217,517.0351953125,251.09885925292969,531.667197265625,270.8260675048828,524.3511962890625,260.96246337890625
16,218,525.4629296875,245.41288513183594,540.094931640625,265.14009338378906,532.7789306640625,255.2764892578125
17,219,532.9352807617188,241.57087463378906,547.5672827148437,261.2980828857422,540.2512817382812,251.43447875976562
18,220,541.4994897460938,237.19773620605469,556.1314916992187,256.9249444580078,548.8154907226562,247.06134033203125
19,221,548.3580712890625,234.81376403808594,562.9900732421875,254.54097229003906,555.674072265625,244.6773681640625
20,222,556.4620751953125,231.03251403808594,571.0940771484375,250.75972229003906,563.778076171875,240.8961181640625
21,223,563.0428247070313,227.64130920410156,577.6748266601562,247.3685174560547,570.3588256835938,237.50491333007812
22,225,576.9156274414063,224.0443243408203,591.5476293945312,243.77153259277344,584.2316284179688,233.90792846679688
23,227,588.88919921875,218.465146484375,603.521201171875,238.19235473632813,596.2052001953125,228.32875061035156
24,228,592.6263818359375,217.8433966064453,607.2583837890625,237.57060485839844,599.9423828125,227.70700073242188
25,224,570.2404096460205,224.66266380801375,584.8724115991454,244.38987205996688,577.5564106225829,234.5262679339903
26,226,581.9862656852883,221.16809155518735,596.6182676384133,240.89529980714047,589.3022666618508,231.0316956811639
